peso_entrevista,peso_examen_mec
12487.337589,17079.798539
74716.043027,93084.865786
21838.596182,29348.303118
14005.967102,21367.934791
13182.950748,17447.284129
17375.710591,18954.826739
12453.269897,15663.738935
41144.584561,50979.057918
27916.286185,30732.722339
24922.685928,26654.550415
43855.004185,52628.676601
55922.747643,71994.564075
21738.615085,24440.028541
10914.909891,16961.245869
27760.633972,38546.931837
35394.846205,32369.552464
30745.635698,41302.004043
26858.943841,29626.379594
42401.453832,51753.067793
24773.35439,25987.321501
33885.972113,50751.293775
35772.358318,36817.488453
52331.955423,109935.043603
47731.825956,70871.491349
31569.230088,43246.992068
39593.731645,40888.721112
9500.049771,12468.238202
22437.974731,23907.376397
41376.850584,53702.653174
17777.920425,23914.819547
13403.714056,15255.633489
30017.602281,43148.765048
17110.897041,15396.903832
13539.486705,16785.958116
44360.899556,52471.247507
38108.097406,47933.025194
29637.338198,34334.294502
31424.749879,38612.709374
12670.645033,17902.221939
10651.603128,12326.796506
96338.473251,136478.987832
27790.42739,30459.89312
13518.793461,16668.296497
7063.725523,6911.401088
22600.095754,27486.970537
16417.206601,17637.7494
94063.15368,134009.452991
45437.48975,52160.735301
17894.463368,20542.590256
56279.739514,78032.529762
19279.479937,25517.84319
13037.557742,13230.7209
18449.896867,26652.491617
66902.369458,97541.011501
15418.951277,14701.098081
23305.309637,35087.443379
29752.992945,32693.411882
16020.140127,22041.38882
44695.661619,101060.253876
9083.816145,9118.265075
33395.375798,33222.21861
50191.370617,57779.992038
40265.622797,43638.114613
9525.910343,10116.884528
20457.338531,36046.046639
31964.665687,37383.430976
100085.365155,116267.467086
20712.619756,25164.626706
10251.748001,11181.12325
40039.985149,43196.268367
29292.129852,45015.011079
19820.285903,22872.535429
15116.948406,15222.017905
6195.135991,7792.250038
25334.733281,30406.05561
16039.128329,17040.816435
57913.215041,59481.100856
12567.448339,15354.400437
20356.895231,35565.948253
88427.889763,113892.655127
28265.594494,38017.019124
58118.044499,75372.948772
37058.112316,44329.133067
34693.18323,39894.267729
30831.815343,42588.307699
13749.057585,23865.400729
33043.268829,35397.740686
41485.2543,58523.188022
20886.291658,23421.890802
38358.783836,48578.708845
19732.207748,23867.790738
38644.766912,42302.082284
38160.748248,51620.209157
20179.087079,21181.270091
97679.495934,123568.691016
76010.17895,101925.533697
16361.855619,22337.709481
26001.00367,28753.243338
33496.942593,41048.257934
28078.391817,32866.730077
100532.705159,132146.276369
7191.865782,7036.77809
40394.048558,49275.050542
117513.972181,132382.651659
24319.0188,23515.74612
36289.242627,38989.844445
17146.525347,18031.339086
11004.496272,11349.79339
11150.378778,12053.273049
16471.589789,17264.603767
27079.811252,31758.917898
26647.460436,34867.662065
36628.582656,44287.746051
9528.277384,12146.573679
14503.743594,16219.729461
17094.886143,25110.218173
13432.507051,17213.422574
76870.813263,164819.650058
23225.591842,30908.08319
20730.437749,34562.538974
47220.893542,56773.464015
11323.545587,14038.683009
15194.17527,17156.194617
43547.765271,58551.032637
22837.417267,35736.407411
30304.675349,30563.952781
36096.881014,46237.133754
54084.316514,68406.292985
26303.210487,23542.633716
15497.724453,16630.825473
55692.950775,78574.294065
12765.524777,16816.936424
15044.94598,17227.7875
27243.039756,29351.754273
12729.527852,9790.74886
21557.5148,25760.072304
15442.029007,15705.385013
34065.075195,65965.306559
61336.726555,89920.757475
18815.3531,20728.518747
33272.967491,46292.998309
16276.164808,24470.600351
28654.195242,33137.796062
23027.103755,26843.216413
15821.484646,21872.085714
61719.303406,85802.543415
17808.310976,19744.37197
23742.107592,28542.760161
11524.876816,14981.624366
38021.34163,43692.247406
117271.944314,142446.723768
53728.471725,67956.217538
24420.051683,23263.114267
27571.818086,31701.723922
23206.848469,27633.750548
26102.640725,45455.931492
10304.681004,12975.136072
41315.91258,62113.511283
